epoch,training_loss,val_loss,training_dice_bg,train_dice_rv,train_dice_myo,train_dice_lv,val_dice_bg,val_dice_rv,val_dice_myo,val_dice_lv
54,0.162513757,0.179712339,1.979273616,1.077238438,1.490777893,1.793915569,1.978562575,1.084188324,1.458732919,1.766598846
55,0.152254223,0.159376043,1.980369618,1.084932686,1.524913446,1.812560684,1.980865486,1.131364436,1.500758428,1.789342591
56,0.154079167,0.180497516,1.980200196,1.085951525,1.511926075,1.813970057,1.978363554,1.087934902,1.437589179,1.76482136
57,0.153082334,0.1980785,1.98019806,1.089024188,1.517276426,1.81038099,1.975079107,1.045879422,1.397581971,1.73718149
58,0.15926168,0.194442561,1.979159131,1.070421156,1.502374471,1.806448401,1.975654696,1.048381421,1.394283129,1.766638236
59,0.160226269,0.188348183,1.979326919,1.075303445,1.498106797,1.801197464,1.977697506,1.102280561,1.408147212,1.733847416
60,0.156373833,0.167475598,1.979922571,1.085150952,1.511447668,1.80118222,1.97925292,1.105471038,1.4811879,1.783167716
61,0.14759502,0.178967739,1.980724197,1.08981281,1.538084727,1.820408746,1.977203221,1.06475342,1.4482839,1.782019463
62,0.152967964,0.169215845,1.980336856,1.09807226,1.510114518,1.808469267,1.979872144,1.124573711,1.455764424,1.7805639
63,0.147835595,0.163726488,1.980789265,1.097421926,1.533506517,1.81576489,1.981086738,1.153773685,1.467842236,1.773966406
64,0.158953538,0.153750333,1.979642714,1.097924632,1.486063351,1.7972403,1.982482646,1.168733264,1.501955516,1.790622155
65,0.149022939,0.160283026,1.98084177,1.100714623,1.525936367,1.813434015,1.981566527,1.14562173,1.488919439,1.787140615
66,0.152467166,0.164521972,1.980374692,1.092487961,1.522141234,1.80508163,1.981544123,1.175563753,1.441973972,1.780560533
67,0.146610649,0.16508901,1.980998932,1.104698173,1.533222954,1.8155131,1.980759545,1.149451454,1.456038414,1.780578866
68,0.140613261,0.176152271,1.981899391,1.122771463,1.542269121,1.824114203,1.97857187,1.107060994,1.430516626,1.771225514
69,0.144576071,0.162418423,1.981306898,1.110836197,1.535879014,1.818753329,1.980534391,1.128087802,1.484304977,1.789431594
70,0.15279326,0.146904673,1.979736902,1.0803585,1.521394154,1.814032583,1.984160651,1.213201817,1.509759683,1.793116458
71,0.142342114,0.161903193,1.981447903,1.110263319,1.548323274,1.819980163,1.98124676,1.151242001,1.478643114,1.7840728
72,0.159822861,0.185886508,1.978987859,1.0762058,1.487182862,1.811801262,1.978237192,1.119072531,1.379420519,1.771005721
73,0.145785309,0.152578691,1.98128869,1.117370591,1.533316392,1.807049567,1.982412486,1.154823439,1.513544162,1.802827163
74,0.142050483,0.158066407,1.981336852,1.113775331,1.539467068,1.825330702,1.981577465,1.162857598,1.476518877,1.789116267
75,0.163619722,0.196133851,1.979128054,1.083360433,1.492911874,1.777184798,1.977851944,1.136697413,1.334444729,1.739431938
76,0.155304588,0.177702979,1.979997596,1.10396923,1.494147184,1.802702536,1.978880532,1.111707931,1.439692252,1.763293519
77,0.147403016,0.153007607,1.980800855,1.108384937,1.527460733,1.81120859,1.982191342,1.166538661,1.508177389,1.784387675
78,0.139671503,0.16150907,1.981750401,1.122012167,1.554227275,1.81653713,1.98152571,1.159323407,1.467871648,1.78210058
79,0.132015262,0.139939187,1.982824241,1.138067007,1.572399778,1.828137466,1.984202627,1.206964941,1.526046655,1.809609478
80,0.1308982,0.146335425,1.982887715,1.136496567,1.571839632,1.836082036,1.983343063,1.191016987,1.512720733,1.798587904
81,0.132458732,0.144655881,1.982560984,1.138218784,1.562320756,1.834638076,1.98342993,1.191096403,1.515951691,1.808338169
82,0.152790211,0.151886383,1.980042037,1.111956879,1.505839621,1.796501976,1.983179381,1.162376752,1.52278048,1.802315224
83,0.143600828,0.178464519,1.981495465,1.117337838,1.538906023,1.814236995,1.979631139,1.137819294,1.420940424,1.752014088
84,0.136206276,0.151091301,1.98232166,1.134542763,1.557568778,1.821724387,1.982516643,1.1576173,1.520826022,1.797739188
85,0.149198003,0.195961175,1.981021063,1.129230142,1.500168445,1.807611706,1.977056597,1.086585614,1.389576565,1.725602443
86,0.150299159,0.203220669,1.98057742,1.114689289,1.52449957,1.790081628,1.976679914,1.097480615,1.3430299,1.724899884
87,0.132108057,0.154311367,1.982630796,1.139755042,1.571206802,1.826011296,1.982562726,1.165972186,1.509399797,1.794488379
88,0.133979399,0.154577922,1.982130315,1.121796226,1.573779692,1.829662862,1.982623003,1.164925814,1.511676951,1.792065209
89,0.133209584,0.157430381,1.982198063,1.12553967,1.568800738,1.834791672,1.981248083,1.131031385,1.508670493,1.799488032
90,0.128038172,0.142052581,1.982936564,1.14147097,1.582551374,1.834737139,1.984516281,1.215978933,1.528940967,1.796357397
91,0.122397097,0.149763416,1.98387381,1.168686175,1.596289994,1.827275121,1.982578729,1.176234206,1.520353668,1.782135635
92,0.122092057,0.146043897,1.983692084,1.167923621,1.597405088,1.827047821,1.98308798,1.187605088,1.525071032,1.790931496
93,0.117181175,0.140794935,1.984266509,1.177189047,1.60694623,1.837223415,1.984154369,1.207874435,1.530498461,1.801512996
94,0.116224025,0.144712778,1.984374711,1.180137273,1.608700544,1.837952323,1.983940981,1.197537391,1.526429082,1.79356351
95,0.116585803,0.142042668,1.984300638,1.179248646,1.60691037,1.838772964,1.983972452,1.201917712,1.527382172,1.801194119
96,0.112854021,0.140319052,1.984763552,1.186662042,1.612068261,1.848272293,1.984240676,1.205017944,1.534678437,1.803035212
97,0.111963143,0.142501765,1.984884678,1.182674317,1.62180136,1.847643561,1.983400211,1.191442584,1.529045661,1.802277262
98,0.11165749,0.14325849,1.984893667,1.189127933,1.618350653,1.846479745,1.983602101,1.192278394,1.523726709,1.805133328
99,0.115235019,0.142710962,1.984458281,1.174730421,1.610470711,1.847424778,1.983894991,1.203455656,1.52249333,1.801248706
100,0.113359513,0.144605831,1.98470468,1.182979724,1.61377534,1.847397404,1.983354247,1.184548963,1.529195814,1.800596999
